0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:42 +0800] "GET /WebDemo4/index.jsp HTTP/1.1" 200 16550
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:42 +0800] "GET /WebDemo4/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:42 +0800] "GET /WebDemo4/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:42 +0800] "GET /WebDemo4/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:42 +0800] "GET /WebDemo4/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:42 +0800] "GET /WebDemo4/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:42 +0800] "GET /WebDemo4/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:42 +0800] "GET /WebDemo4/img/header.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:42 +0800] "GET /WebDemo4/img/lunbo1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:42 +0800] "GET /WebDemo4/img/ad.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:42 +0800] "GET /WebDemo4/img/footer.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:42 +0800] "GET /WebDemo4/img/lunbo3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:42 +0800] "GET /WebDemo4/img/lunbo2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:42 +0800] "GET /WebDemo4/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:43 +0800] "GET /WebDemo4/DoCart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:46 +0800] "GET /WebDemo4/cart.jsp HTTP/1.1" 200 6642
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:46 +0800] "GET /WebDemo4/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:46 +0800] "GET /WebDemo4/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:46 +0800] "GET /WebDemo4/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:46 +0800] "GET /WebDemo4/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:46 +0800] "GET /WebDemo4/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:46 +0800] "GET /WebDemo4/img/header.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:46 +0800] "GET /WebDemo4/css/info.css HTTP/1.1" 304 -
